code,pinyin,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000554,TSSY,泰山石油,石油贸易,山东,1805.74,3.63,4.81,14.72,4.44,5.45,1.87,0.39,0.002,1.89,2.42,19931215,1.26,0.26,-25.76,-43.72,10.44,0.05,43687.0
000555,SZXX,神州信息,软件服务,深圳,59.48,9.6,9.7,105.44,74.8,4.63,23.41,2.41,0.225,5.66,3.16,19940408,20.78,2.14,8.44,14.89,17.36,3.23,78889.0
000557,XBCY,西部创业,铁路,宁夏,27.94,14.58,14.58,54.52,13.76,33.34,43.22,2.96,0.096,3.51,1.02,19940617,-8.12,-0.56,4.35,1165.2,36.53,23.33,57701.0
000558,LYTY,莱茵体育,文教休闲,浙江,0.0,12.88,12.89,21.83,7.0,2.69,0.7,0.05,-0.017,0.98,3.21,19940509,-1.56,-0.12,16.87,63.77,39.75,-22.39,69800.0
000559,WXQC,万向钱潮,汽车配件,浙江,51.53,27.53,33.04,145.24,97.42,30.8,25.03,0.76,0.11,2.46,2.5,19940110,17.84,0.54,-2.16,-28.86,17.12,3.95,94616.0
000560,WAWJ,我爱我家,房产服务,云南,30.33,19.17,23.56,194.94,89.22,3.33,55.09,2.34,0.11,4.34,0.97,19940202,20.62,0.88,-22.27,-61.93,26.19,3.62,30865.0
000561,FHDZ,烽火电子,通信设备,陕西,612.12,5.99,6.05,34.8,27.55,2.5,1.45,0.24,0.009000000000000001,2.35,2.98,19940509,7.09,1.17,1.28,21.2,41.13,0.74,49911.0
000563,SGTA,陕国投Ａ,多元金融,陕西,20.17,39.64,39.64,170.68,0.0,0.67,41.11,1.04,0.136,2.94,1.24,19940110,25.22,0.64,20.11,17.19,0.0,34.58,107770.0
000564,GXDJ,供销大集,百货,陕西,0.0,20.06,59.82,503.51,261.99,38.79,244.68,4.09,-0.037000000000000005,4.96,0.58,19940110,-13.91,-0.23,-63.01,-125.77,32.74,-12.66,150441.0
000565,YSXA,渝三峡Ａ,染料涂料,重庆,41.12,4.34,4.34,15.61,6.84,1.96,0.52,0.12,0.09,2.69,1.9,19940408,5.4,1.25,-11.63,-36.68,33.5,13.06,32850.0
000566,HNHY,海南海药,化学制药,海南,466.3,12.03,13.36,108.34,60.07,14.59,34.07,2.55,0.013999999999999999,3.36,2.67,19940525,1.55,0.12,-14.06,-84.36,46.6,1.16,46863.0
000567,HDGF,海德股份,多元金融,海南,40.73,2.18,6.41,60.92,55.46,0.05,33.53,5.23,0.18,6.78,1.45,19940525,3.26,0.51,-19.1,-24.49,0.0,48.38,33596.0
000568,LZLJ,泸州老窖,白酒,四川,44.94,14.64,14.65,313.67,172.84,40.44,37.23,2.54,3.29,14.95,13.18,19940509,150.46,10.27,1.06,26.88,83.57,41.52,113945.0
000570,SCCA,苏常柴Ａ,机械基件,江苏,56.42,4.11,5.61,37.64,23.81,4.65,1.64,0.29,0.069,3.87,1.35,19940701,7.68,1.37,10.81,94.16,16.18,2.22,46684.0
000571,STDZ,*ST大洲,综合类,海南,0.0,8.07,8.14,32.22,6.31,14.5,6.8,0.83,-0.111,0.8,3.56,19940525,-9.51,-1.17,-23.97,-2.74,35.65,-11.06,54455.0
000572,STHM,ST海马,汽车整车,海南,0.0,16.42,16.45,100.24,31.42,29.69,37.77,2.3,-0.14300000000000002,2.85,0.94,19940808,-8.86,-0.54,-43.6,-16.38,9.04,-12.1,64830.0
000573,YHYA,粤宏远Ａ,区域地产,广东,0.0,6.32,6.38,30.01,17.48,1.25,5.41,0.85,-0.012,2.63,1.1,19940815,2.78,0.44,-28.83,-105.77,17.57,-1.5,50555.0
000576,GHKG,甘化科工,综合类,广东,4.88,4.28,4.43,21.95,12.77,0.33,7.57,1.71,1.68,4.22,2.59,19940907,6.21,1.4,-12.21,772.37,42.93,249.23,40071.0
000581,WFGK,威孚高科,汽车配件,江苏,8.99,8.36,10.09,262.36,157.87,28.82,33.92,3.36,2.24,17.57,1.51,19980924,132.13,13.1,56.95,29.16,17.97,22.49,48956.0
000582,BBWG,北部湾港,港口,广西,18.62,12.67,16.35,190.95,31.68,118.98,36.07,2.21,0.512,6.13,2.07,19951102,44.81,2.74,13.53,16.0,40.36,21.93,27908.0
