代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002376	新北洋	20201102	20100323	          6.66	--  	--  	55.95	35.49	          2.85	31.48	28.03	10.23	1.73	9.74	5.99	7.46	7.28	--  	9.90	15.89	10.25	1.81	1.26	1.81	1.68	1.22	1.10	14.12	0.06	-9.56	35292.00	         12238	11.06万	-44.40	1.98	          1.78	1036.32	3.79	2.21	0.180㈢	          5.07	5.07	          1.49	          2.12	          0.01	         63.42	   3.44㈢	         35.49	         11.37	          7.68	2.57	4764	002376	--  	--  	--  	
002377	国创高新	20201030	20100323	          9.16	--  	--  	64.84	53.29	          0.08	17.69	23.26	1.08	2.91	11.45	7.68	2.58	6.99	--  	36.42	30.55	26.33	1.02	-0.00	0.96	0.85	0.92	0.87	7.32	-3.08	-3.08	29096.00	         11648	4.95万	-60.87	-17.45	          0.73	-12.65	1.27	3.53	0.100㈢	          5.82	0.00	          3.97	          0.80	         -0.34	         82.19	   1.73㈢	         13.79	          3.35	          3.01	0.85	6273	002377	--  	--  	--  	
002378	章源钨业	20201201	20100331	          9.24	--  	--  	39.95	16.44	          0.07	58.65	18.09	12.68	4.31	15.10	3.81	8.51	4.35	--  	5.77	13.52	11.67	-0.03	0.04	-0.05	-0.02	-0.03	-0.39	-0.23	3.60	-1.10	45113.00	          7128	3.70万	97.35	-2.27	          2.92	13.31	3.55	0.00	-0.003㈢	          1.78	0.00	          0.62	         -0.03	          0.39	         41.16	  -0.18㈢	         13.66	         -0.24	         -0.22	0.26	3552	002378	--  	--  	--  	
002379	宏创控股	20201201	20100331	          9.26	--  	--  	23.16	14.86	--  	35.85	10.68	9.72	2.62	8.30	1.34	4.53	2.31	--  	5.68	17.41	17.07	-1.10	0.00	-1.08	-0.99	-0.99	-1.02	-0.32	0.57	0.21	50631.00	         13140	4.06万	-130.99	-20.91	          1.93	50.56	1.64	0.00	-0.107㈢	          1.60	0.00	          0.61	         -0.03	          0.06	         64.15	  -6.66㈢	          1.91	         -6.29	         -5.69	0.41	1806	002379	--  	--  	--  	
002380	科远智慧	20201201	20100331	          2.40	--  	--  	28.76	22.55	          0.70	19.15	18.80	4.38	0.75	5.31	7.76	2.74	4.90	--  	13.88	6.07	3.54	1.12	0.07	1.10	0.99	0.96	0.88	5.43	0.75	-2.29	19887.00	          5568	7.98万	12.77	25.51	          1.53	46.07	5.67	1.39	0.400㈢	          9.40	0.00	          5.78	          2.26	          0.31	         78.41	   4.27㈢	         41.69	         18.46	         15.87	0.56	1037	002380	--  	--  	--  	
002381	双箭股份	20201026	20100402	          4.12	--  	--  	24.88	18.81	          0.08	24.10	17.84	4.43	0.53	5.99	6.18	3.08	3.97	--  	5.68	12.75	8.52	2.77	0.05	2.78	2.29	2.31	2.25	7.67	2.70	2.09	22513.00	         10498	9.50万	23.80	15.11	          1.98	13.77	2.92	3.31	0.560㈢	          4.57	0.00	          1.38	          1.86	          0.66	         75.60	  12.31㈢	         33.22	         21.68	         18.15	0.36	1335	002381	--  	--  	--  	
002382	蓝帆医疗	20201207	20100402	          9.64	--  	--  	179.93	100.32	          0.04	44.22	66.06	18.06	9.40	42.25	43.51	6.73	9.13	--  	52.45	46.55	17.31	20.70	0.59	20.73	18.93	18.88	18.78	29.88	18.97	21.03	88376.00	          5371	11.51万	403.16	79.14	          2.16	10.88	4.44	0.47	1.960㈢	          9.92	9.92	          5.44	          3.10	          1.97	         55.76	  18.82㈢	         62.82	         44.47	         40.56	1.93	4106	002382	--  	--  	--  	
002383	合众思壮	20201027	20100402	          7.44	--  	--  	80.12	26.35	          0.49	66.50	44.50	4.86	3.05	47.69	7.30	5.49	14.68	--  	24.49	10.93	5.96	-2.16	1.42	-2.14	-2.21	-2.22	-2.45	-5.98	-0.81	2.78	48902.00	          8442	6.37万	-350.44	1.53	          2.12	-69.57	5.14	0.00	-0.300㈢	          3.56	3.56	          3.29	         -0.80	         -0.11	         32.89	  -8.43㈢	         45.48	        -19.75	        -20.34	1.32	2192	002383	--  	--  	--  	
002384	东山精密	20201028	20100409	         17.10	--  	--  	352.46	124.67	          1.13	64.31	199.55	104.99	3.54	183.64	49.34	58.07	63.64	--  	81.17	182.53	151.08	11.11	0.00	10.95	9.65	9.56	7.85	30.45	15.47	5.50	122318.00	          9173	24.77万	7.60	11.51	          3.70	29.84	2.53	0.17	0.560㈢	          7.29	0.00	          4.75	          1.78	          0.90	         35.37	   7.67㈢	         17.23	          6.09	          5.24	5.71	20581	002384	--  	--  	--  	
002385	大北农	20201104	20100409	         41.95	--  	--  	226.38	105.50	         18.93	45.04	88.58	64.52	14.68	80.40	38.85	28.59	14.63	--  	12.06	152.66	116.12	20.99	4.75	20.91	19.31	14.83	12.43	52.56	11.92	12.07	250000.00	         10856	10.10万	390.88	24.89	          3.70	32.72	2.56	2.42	0.370㈢	          2.51	0.00	          0.29	          1.25	          0.28	         46.60	  14.05㈢	         23.94	         13.75	          9.71	3.49	13855	002385	--  	--  	--  	
002386	天原集团	20201027	20100409	          7.81	--  	--  	148.69	49.81	          2.12	65.08	56.65	56.32	8.22	86.88	30.35	6.25	3.80	--  	24.52	157.96	148.40	0.54	-0.07	0.50	0.06	0.15	-0.04	14.77	4.53	3.71	43810.00	         12043	6.73万	-80.51	-17.38	          0.88	9.63	0.28	0.89	0.020㈢	          6.38	0.00	          3.14	          1.89	          0.58	         33.50	   0.31㈢	          6.05	          0.34	          0.10	1.16	4206	002386	--  	--  	--  	
002387	维信诺	20201027	20100413	         13.68	--  	--  	387.58	149.46	         42.83	50.39	74.56	79.82	15.34	117.55	38.54	7.36	5.24	0.00	137.52	20.09	15.99	0.82	0.08	0.83	0.17	-0.27	-6.88	-1.91	0.76	-7.23	41522.00	         19173	24.92万	55.63	6.63	          1.19	234.23	8.85	0.00	-0.020㈢	         10.93	0.00	         10.05	         -0.14	          0.06	         38.56	  -0.18㈢	         20.38	          4.10	         -1.33	2.99	6267	002387	--  	--  	--  	
002388	新亚制程	20201201	20100413	          5.04	--  	--  	27.42	11.73	          1.03	53.44	23.23	2.81	0.51	14.55	3.35	6.20	11.04	--  	4.75	16.55	14.94	0.31	0.00	0.31	0.24	0.36	0.33	1.81	-3.15	-2.53	32269.00	          7719	4.82万	2.42	68.93	          2.68	-9.99	1.90	1.60	0.071㈢	          2.33	0.00	          0.94	          0.36	         -0.62	         42.79	   3.03㈢	          9.74	          1.87	          2.15	0.17	900	002388	--  	--  	--  	
002389	航天彩虹	20201201	20100413	          9.46	--  	--  	83.81	64.93	          1.52	20.71	40.32	18.34	12.84	16.16	4.89	6.69	21.13	--  	47.77	19.23	14.84	1.18	-0.02	1.21	1.04	0.90	0.81	6.51	0.54	-2.04	54913.00	          8744	23.00万	2.33	13.78	          3.83	460.59	12.94	0.11	0.090㈢	          6.86	0.00	          5.05	          0.69	          0.06	         77.47	   1.38㈢	         22.82	          6.16	          4.66	0.75	2039	002389	--  	--  	--  	
002390	信邦制药	20201203	20100416	         16.67	--  	--  	98.97	48.68	          2.27	48.52	63.27	20.90	2.20	44.79	15.88	8.27	25.57	0.54	36.24	42.80	33.77	1.91	-0.19	1.85	1.47	1.23	1.22	-0.22	5.17	3.99	49271.00	         20264	13.52万	-38.44	-14.72	          2.28	21.53	2.60	0.00	0.080㈢	          2.92	0.00	          2.17	         -0.01	          0.31	         49.19	   2.53㈢	         21.09	          4.47	          2.88	0.10	6407	002390	--  	--  	--  	
002391	长青股份	20201201	20100416	          6.60	--  	--  	56.35	43.65	          0.17	22.23	29.45	18.15	1.61	12.37	1.55	11.27	7.01	--  	21.53	23.05	17.82	2.62	0.14	2.46	2.18	2.16	2.08	14.13	2.14	-0.27	42965.00	          9475	6.81万	-24.60	-9.82	          1.09	22.21	2.06	2.78	0.350㈢	          6.61	0.00	          3.26	          2.14	          0.32	         77.46	   4.95㈢	         22.69	         11.37	          9.38	0.97	1929	002391	--  	--  	--  	
002392	北京利尔	20201030	20100423	         11.90	--  	--  	62.36	40.54	          0.09	34.84	44.48	6.55	4.51	20.46	6.37	7.22	14.84	--  	9.88	32.17	23.83	4.32	0.25	4.36	3.74	3.72	3.47	18.36	0.15	-1.25	61133.00	         12432	5.97万	20.50	25.17	          1.41	389.01	1.78	0.72	0.310㈢	          3.41	0.00	          0.83	          1.54	          0.01	         65.01	   9.18㈢	         25.93	         13.43	         11.58	1.77	2235	002392	--  	--  	--  	
002393	力生制药	20201123	20100423	          1.82	--  	--  	51.98	44.41	--  	14.57	23.12	10.53	1.55	5.43	16.17	2.11	2.08	--  	16.92	9.15	3.39	0.96	0.08	0.96	0.79	0.79	0.79	10.83	0.96	-0.33	17849.00	          4972	11.77万	-41.25	-24.30	          0.97	44.78	4.72	1.27	0.430㈢	         24.34	0.00	          9.27	          5.94	          0.53	         85.43	   1.78㈢	         63.01	         10.47	          8.65	0.59	1679	002393	--  	--  	--  	
002394	联发股份	20201026	20100423	          3.33	--  	--  	48.99	36.06	          0.17	26.05	31.64	13.85	1.15	8.40	6.80	5.88	3.76	--  	10.27	27.59	21.90	4.59	0.50	4.58	3.52	3.56	1.43	21.23	6.16	4.22	21032.00	          8246	8.28万	46.62	-4.05	          0.93	5.43	1.21	5.00	1.070㈢	         10.84	0.00	          3.09	          6.38	          1.85	         73.61	   9.88㈢	         20.64	         16.64	         12.91	0.53	7596	002394	--  	--  	--  	
002395	双象股份	20201027	20100429	          2.68	--  	--  	15.99	8.78	--  	45.09	11.64	2.90	0.62	4.54	4.87	3.67	0.70	--  	3.38	9.36	8.30	0.32	0.00	0.31	0.25	0.25	0.17	2.35	0.55	2.49	6198.00	         15354	22.88万	5.27	-7.24	          4.55	73.02	4.27	0.00	0.095㈢	          3.27	0.00	          1.26	          0.88	          0.20	         54.91	   2.90㈢	         11.34	          3.37	          2.72	0.35	742	002395	--  	--  	--  	
002396	星网锐捷	20201023	20100623	          5.83	--  	--  	84.47	40.86	          6.69	43.70	64.72	7.03	1.15	36.33	16.18	24.46	17.11	--  	2.85	65.62	43.41	5.04	0.21	4.98	4.86	3.30	3.08	29.60	0.14	-4.66	61413.00	          6981	18.05万	-31.26	9.49	          3.69	1106.77	2.30	0.43	0.566㈢	          7.01	0.00	          0.49	          5.07	          0.02	         48.37	   8.08㈢	         33.84	          7.69	          5.03	7.81	8601	002396	--  	--  	--  	
002397	梦洁股份	20201202	20100429	          7.58	--  	--  	35.76	17.96	          1.30	46.14	20.35	10.71	1.38	15.73	5.54	6.74	3.63	--  	6.95	13.56	7.96	0.25	0.00	0.34	0.27	0.25	0.14	2.74	1.52	-1.92	43944.00	          7022	3.12万	-74.24	-19.64	          1.88	22.24	2.49	4.47	0.033㈢	          2.37	0.00	          0.92	          0.36	          0.20	         50.22	   1.41㈢	         41.27	          1.85	          1.86	0.45	3708	002397	--  	--  	--  	
002398	垒知集团	20201029	20100506	          6.92	--  	--  	49.54	30.71	          0.67	36.66	35.47	4.23	1.26	17.87	2.55	1.30	21.90	--  	2.29	25.69	19.29	3.35	0.20	3.35	2.88	2.83	2.63	20.81	1.45	-0.23	21126.00	         23652	19.32万	-8.87	9.00	          1.84	38.92	2.20	0.98	0.410㈢	          4.44	0.00	          0.33	          3.00	          0.21	         62.00	   9.22㈢	         24.91	         13.02	         11.03	0.96	2348	002398	--  	--  	--  	
002399	海普瑞	20201030	20100506	         14.67	--  	          2.20	185.13	112.51	          1.21	38.58	88.50	20.24	6.25	37.43	29.28	33.44	13.25	--  	59.50	35.42	21.51	8.48	2.98	8.48	7.06	7.09	6.06	33.64	-1.30	8.43	33786.00	          7792	14.09万	5.56	12.85	          2.36	-204.30	7.49	0.85	0.550㈢	          7.67	0.00	          4.06	          2.29	         -0.09	         60.77	   6.30㈢	         39.29	         23.94	         20.00	0.69	2162	002399	--  	--  	--  	
002400	省广集团	20201203	20100506	         17.43	--  	--  	85.87	52.98	          2.42	35.49	48.32	6.67	0.73	29.09	8.60	0.00	25.58	--  	14.05	87.77	80.35	-0.01	0.31	0.04	-0.24	-0.52	-1.05	19.05	-1.19	-5.20	299448.00	          4486	2.36万	-147.52	5.17	          1.73	-77.46	1.05	0.44	-0.030㈢	          3.04	0.00	          0.81	          1.09	         -0.07	         61.69	  -0.99㈢	          8.45	         -0.01	         -0.60	1.40	2491	002400	--  	--  	--  	
002401	中远海科	20201028	20100506	          3.09	--  	--  	32.44	11.07	--  	65.88	29.16	0.90	0.07	21.28	12.16	14.27	0.98	--  	0.77	10.09	8.16	1.84	0.73	1.85	1.60	1.60	0.91	6.84	-0.36	-1.05	25608.00	          5878	7.44万	117.81	25.52	          3.54	-108.57	3.88	0.40	0.530㈢	          3.58	0.00	          0.25	          2.21	         -0.12	         34.12	  14.44㈢	         19.19	         18.26	         15.84	0.17	896	002401	--  	--  	--  	
002402	和而泰	20201030	20100511	          9.14	--  	--  	58.58	27.06	          1.98	50.41	37.09	6.58	1.75	26.96	11.48	8.88	11.06	--  	7.25	31.91	24.62	3.38	0.08	3.38	2.87	2.77	2.80	9.83	3.15	4.66	82121.00	          8989	15.28万	15.12	20.19	          5.74	49.31	4.87	0.35	0.310㈢	          2.96	0.00	          0.79	          1.08	          0.34	         46.20	  10.22㈢	         22.86	         10.60	          8.67	1.45	4177	002402	--  	--  	--  	
002403	爱仕达	20201030	20100511	          3.50	--  	--  	53.48	22.99	          0.19	56.67	26.60	12.91	3.14	23.77	4.71	9.20	7.41	--  	11.13	19.29	13.11	1.70	0.36	1.56	1.48	1.49	-0.75	8.38	-0.06	-0.31	14890.00	          9966	7.94万	38.05	-23.18	          1.21	-468.92	1.45	0.00	0.440㈢	          6.56	0.00	          3.18	          2.39	         -0.02	         42.98	   6.50㈢	         32.07	          8.80	          7.75	1.15	5320	002403	--  	--  	--  	
002404	嘉欣丝绸	20201030	20100511	          5.78	--  	--  	30.05	17.99	          0.72	37.75	20.05	3.77	0.48	10.55	4.48	4.89	3.43	--  	6.45	19.09	15.72	1.57	0.10	1.58	1.56	1.50	0.80	4.97	-0.99	-2.33	34459.00	          9363	7.10万	26.26	-26.79	          2.43	-44.12	2.29	2.60	0.260㈢	          3.11	0.00	          1.12	          0.86	         -0.17	         59.86	   8.32㈢	         17.68	          8.23	          7.84	0.35	3136	002404	--  	--  	--  	
002405	四维图新	20201123	20100518	         19.61	--  	--  	88.35	77.74	          2.26	9.44	24.59	6.17	10.67	8.11	14.34	0.97	7.10	--  	40.80	15.30	6.13	-1.99	-1.20	-1.98	-1.99	-1.95	-2.04	16.53	0.42	-2.48	198623.00	          7798	11.46万	-904.40	-0.36	          3.71	685.91	18.85	0.12	-0.100㈢	          3.96	0.00	          2.08	          0.84	          0.02	         88.00	  -2.50㈢	         59.93	        -12.98	        -12.72	7.50	4696	002405	--  	--  	--  	
002406	远东传动	20201202	20100518	          6.20	--  	--  	42.83	31.35	          0.01	26.80	30.09	7.23	3.09	4.65	8.73	3.31	6.15	--  	10.33	15.82	10.88	2.91	0.14	2.90	2.50	2.50	2.21	11.63	1.00	-0.89	46035.00	          9345	6.30万	30.06	19.92	          1.34	41.88	2.64	3.71	0.440㈢	          5.01	5.01	          1.67	          1.88	          0.16	         73.18	   7.99㈢	         31.24	         18.37	         15.83	0.76	1730	002406	--  	--  	--  	
002407	多氟多	20201204	20100518	          6.95	--  	--  	100.75	28.81	          5.86	65.59	42.70	21.65	7.24	53.07	18.16	7.22	9.15	1.42	20.31	28.63	24.07	0.37	0.09	0.50	0.34	0.14	-0.78	0.78	-0.33	-0.87	113000.00	          4866	7.79万	-86.72	-5.56	          3.86	-339.88	3.89	0.06	0.020㈢	          4.15	0.00	          2.92	          0.11	         -0.05	         28.59	   0.47㈢	         15.94	          1.29	          0.48	0.87	4241	002407	--  	--  	--  	
002408	齐翔腾达	20201027	20100518	         17.75	--  	--  	189.42	87.28	          6.84	50.32	85.47	53.35	16.45	62.12	33.10	9.89	20.58	3.69	21.87	163.33	146.36	10.02	0.06	10.00	8.38	7.87	7.31	39.68	7.01	10.78	40289.00	         17145	14.71万	50.28	-32.07	          1.86	21.74	0.93	0.92	0.440㈢	          4.62	4.62	          1.23	          2.24	          0.39	         46.08	   9.02㈢	         10.39	          6.14	          4.82	2.14	2306	002408	--  	--  	--  	
002409	雅克科技	20201030	20100525	          4.63	--  	--  	56.97	46.18	          1.46	16.39	19.87	8.70	2.57	7.88	5.64	5.05	6.31	--  	29.97	16.85	10.60	4.26	0.97	4.26	3.50	3.44	2.74	10.98	2.62	-2.69	63398.00	          3058	18.42万	85.17	23.72	          6.04	106.27	16.54	0.11	0.743㈢	          9.98	0.00	          6.47	          2.37	          0.57	         81.06	   7.45㈢	         37.13	         25.26	         20.42	0.50	1043	002409	--  	--  	--  	
002410	广联达	20201208	20100525	         11.85	--  	--  	80.53	57.77	          0.93	27.10	48.54	7.86	3.63	21.73	32.98	0.52	7.00	--  	32.19	25.45	2.51	3.08	-0.08	3.03	2.60	2.30	2.08	14.86	10.24	10.71	35022.00	         25430	170.94万	44.65	16.57	         13.78	77.79	31.29	0.14	0.200㈢	          4.88	4.88	          2.72	          1.25	          0.86	         71.74	   3.98㈢	         90.14	         12.09	          9.03	7.09	7115	002410	--  	--  	--  	
002411	延安必康	20201103	20100525	         15.32	--  	--  	218.26	96.12	          4.64	53.83	77.30	32.26	9.01	97.19	6.59	9.99	44.92	3.71	51.64	51.39	40.87	1.05	0.05	0.93	0.48	0.13	0.62	22.66	1.41	-0.33	78544.00	          6092	3.45万	-97.08	-21.50	          0.90	61.58	1.69	0.00	0.008㈢	          6.27	0.00	          3.37	          1.48	          0.09	         44.04	   0.13㈢	         20.47	          2.05	          0.25	0.75	5147	002411	--  	--  	--  	
002412	汉森制药	20201027	20100525	          5.03	--  	--  	18.39	15.77	--  	14.25	5.29	4.45	0.55	2.45	1.22	0.94	2.34	--  	1.87	5.22	1.50	0.96	0.38	0.95	0.85	0.85	0.77	7.81	1.19	0.05	24558.00	         11343	8.27万	-17.96	-15.98	          2.33	30.88	7.03	1.03	0.168㈢	          3.13	0.00	          0.37	          1.55	          0.24	         85.75	   5.37㈢	         71.23	         18.33	         16.24	0.22	1561	002412	--  	--  	--  	
002413	雷科防务	20201201	20100528	         11.02	--  	--  	55.80	39.25	          1.01	27.84	24.50	3.35	2.75	9.10	1.35	7.12	11.59	--  	19.38	7.49	4.02	1.33	-0.22	1.32	1.08	1.02	0.94	8.39	-1.77	-1.71	122272.00	          7782	5.80万	14.86	7.68	          2.15	-46.30	10.96	0.00	0.090㈢	          3.46	3.46	          1.76	          0.76	         -0.16	         70.35	   2.60㈢	         46.30	         17.76	         13.63	0.87	1339	002413	--  	--  	--  	
002414	高德红外	20201028	20100716	         15.92	--  	--  	61.30	41.47	--  	32.35	41.80	8.19	4.17	17.56	7.92	16.35	13.37	1.09	11.00	19.36	6.02	8.71	-0.00	8.64	7.96	7.96	7.87	13.71	-1.64	1.97	52568.00	          9969	37.82万	239.36	83.07	         14.56	-369.35	31.19	0.31	0.500㈢	          2.60	0.00	          0.69	          0.86	         -0.10	         67.65	  19.20㈢	         68.91	         44.96	         41.11	2.06	2956	002414	--  	--  	--  	
002415	海康威视	20201026	20100528	         93.45	--  	--  	792.17	478.01	          5.54	38.96	660.88	59.50	11.81	244.08	267.24	111.53	230.81	--  	50.58	420.21	219.71	96.88	1.25	97.27	85.77	84.39	80.40	308.60	55.35	1.74	242350.00	         13957	62.07万	5.13	5.48	          8.69	75.09	9.89	1.57	0.910㈢	          5.12	0.00	          0.54	          3.30	          0.59	         60.34	  17.65㈢	         47.71	         23.05	         20.08	47.41	40403	002415	--  	--  	--  	
002416	爱施德	20201113	20100528	         12.39	--  	--  	112.05	51.91	          1.14	52.66	101.77	0.12	0.18	58.94	43.80	19.11	15.72	--  	16.22	439.52	424.57	6.87	0.67	7.16	5.53	4.79	3.82	24.09	10.61	1.33	52609.00	         10713	9.41万	56.85	7.24	          2.10	10.25	0.25	2.28	0.387㈢	          4.19	0.00	          1.31	          1.94	          0.86	         46.32	   9.24㈢	          3.40	          1.56	          1.09	0.08	2228	002416	--  	--  	--  	
002417	深南股份	20201124	20100601	          2.70	--  	--  	4.56	2.54	          0.24	39.12	3.30	0.13	0.01	1.78	1.00	1.25	0.57	--  	3.35	2.80	2.12	0.32	0.00	0.32	0.26	0.19	0.17	-3.78	-0.18	-0.10	50155.00	          4342	3.25万	4056.84	53.23	          7.95	-112.84	7.22	0.00	0.070㈢	          0.94	0.00	          1.24	         -1.40	         -0.07	         55.72	   7.43㈢	         24.27	         11.27	          6.75	0.06	127	002417	--  	--  	--  	
002418	*ST康盛	20201203	20100601	         11.36	--  	--  	25.95	5.83	         -0.06	77.76	12.44	7.19	1.35	19.57	2.37	2.08	6.03	0.60	4.92	13.96	12.43	-0.36	0.34	-0.34	-0.31	-0.30	-0.71	-10.75	2.44	1.51	28337.00	         20492	3.87万	80.58	-7.62	          3.68	8.79	1.54	0.00	-0.027㈢	          0.51	0.00	          0.43	         -0.95	          0.21	         22.47	  -5.21㈢	         11.00	         -2.58	         -2.17	0.18	3519	002418	--  	--  	--  	
002419	天虹股份	20201208	20100601	         12.00	--  	--  	160.47	65.73	          0.08	58.99	91.48	42.97	8.99	94.12	37.51	8.04	0.74	1.79	13.09	88.51	52.64	1.59	0.07	1.87	1.30	1.27	-0.22	35.05	3.27	-6.27	25474.00	         15751	13.28万	-80.46	-37.11	          1.54	30.95	1.14	4.98	0.106㈢	          5.48	0.00	          1.09	          2.92	          0.27	         40.96	   1.94㈢	         40.54	          1.80	          1.44	0.44	16785	002419	--  	--  	--  	
002420	ST毅昌	20201026	20100601	          4.01	--  	--  	19.29	5.47	          0.11	71.10	13.36	3.84	1.05	13.09	1.92	2.95	5.45	0.53	8.08	21.19	18.68	0.37	-0.00	0.45	0.43	0.45	0.23	-6.94	-0.77	-0.13	19014.00	         15117	6.14万	254.12	-16.13	          2.98	-21.14	0.77	0.00	0.111㈢	          1.36	0.00	          2.01	         -1.73	         -0.19	         28.33	   8.17㈢	         11.86	          1.73	          2.11	0.71	2495	002420	--  	--  	--  	
002421	达实智能	20201118	20100603	         19.25	--  	--  	72.52	30.31	          0.90	56.96	47.16	4.55	1.86	25.87	9.55	4.18	9.91	0.04	2.13	20.87	14.44	2.56	0.02	2.52	2.11	2.11	2.06	8.35	0.55	-1.14	88000.00	         16214	6.11万	63.57	33.18	          2.39	132.77	3.48	0.80	0.110㈢	          1.57	0.00	          0.11	          0.43	          0.03	         41.79	   6.95㈢	         30.80	         12.26	         10.09	0.57	2187	002421	--  	--  	--  	
002422	科伦药业	20201102	20100603	         14.39	--  	--  	320.42	130.87	          7.86	56.70	145.42	112.61	9.24	125.02	28.36	30.97	57.18	--  	37.15	116.63	51.69	6.69	0.63	6.20	5.29	5.01	3.81	75.19	12.46	6.38	47395.00	         18306	36.15万	-45.15	-9.99	          2.17	22.80	2.44	2.12	0.350㈢	          9.10	0.00	          2.58	          5.23	          0.87	         40.84	   3.83㈢	         55.68	          5.73	          4.30	10.00	20242	002422	--  	--  	--  	
002423	中粮资本	20201030	20100603	         23.04	--  	--  	842.07	170.14	         55.13	73.25	451.47	0.97	15.95	278.02	105.72	0.00	1.16	0.33	96.65	8.71	9.62	17.81	16.26	17.80	14.15	9.33	9.35	45.26	63.75	20.58	18922.00	          8660	8.24万	35.17	140.30	          1.29	3.44	25.19	0.29	0.405㈢	          7.38	0.00	          4.19	          1.96	          2.77	         20.21	   5.49㈢	        -10.50	        204.51	        107.17	0.04	3083	002423	--  	--  	--  	
002424	贵州百灵	20201120	20100603	         14.11	--  	--  	71.08	39.11	          0.90	43.71	46.95	6.64	1.72	28.17	8.84	9.90	19.17	0.52	1.36	20.16	7.95	2.12	-0.08	2.06	1.66	1.61	1.45	20.35	0.69	-2.52	58840.00	          9129	7.77万	-46.67	-4.29	          3.07	174.25	5.96	2.59	0.120㈢	          2.77	0.00	          0.10	          1.44	          0.05	         55.03	   4.12㈢	         60.58	         10.53	          7.99	0.12	5961	002424	--  	--  	--  	
002425	凯撒文化	20201203	20100608	          8.14	--  	--  	50.35	42.02	         -0.01	16.56	8.83	0.09	2.13	7.91	0.86	0.01	5.68	--  	21.44	4.44	1.23	1.53	-0.00	1.54	1.51	1.50	1.44	11.08	1.72	-1.02	99021.00	          5748	4.79万	-26.09	-26.41	          1.61	39.54	15.28	0.52	0.180㈢	          5.16	0.00	          2.63	          1.36	          0.21	         83.46	   3.57㈢	         72.29	         34.51	         33.80	0.49	660	002425	--  	--  	--  	
002426	*ST胜利	20201201	20100608	         34.42	--  	--  	120.91	47.76	          0.01	60.48	70.06	25.12	2.00	71.17	13.24	21.72	21.49	--  	38.37	70.81	60.29	6.97	4.90	6.98	6.18	6.08	1.04	-25.49	5.49	5.64	87600.00	         29277	6.38万	265.91	-29.72	          1.57	13.67	1.06	0.00	0.177㈢	          1.39	0.00	          1.11	         -0.74	          0.16	         39.51	  12.72㈢	         14.85	          9.85	          8.58	1.98	7078	002426	--  	--  	--  	
002427	ST尤夫	20201029	20100608	          4.38	--  	--  	57.74	6.76	          0.00	88.29	26.25	16.70	2.54	35.40	2.39	2.35	7.97	--  	5.50	19.32	15.71	-1.15	0.18	-1.14	-1.31	-1.31	-1.43	-4.09	1.40	-1.15	9531.00	         17625	9.09万	-243.74	-18.97	          3.34	16.14	1.17	0.00	-0.300㈢	          1.54	0.00	          1.26	         -0.93	          0.32	         11.70	 -19.42㈢	         18.68	         -5.95	         -6.79	0.59	2148	002427	--  	--  	--  	
002428	云南锗业	20201204	20100608	          6.53	--  	--  	22.23	14.40	          0.51	32.91	7.44	8.51	3.72	5.36	1.04	3.60	1.05	0.03	3.28	4.99	4.24	0.09	0.00	0.09	0.09	0.09	0.03	3.69	0.96	0.05	71000.00	          7235	10.53万	184.20	49.74	          6.60	98.96	19.06	0.00	0.014㈢	          2.21	0.00	          0.50	          0.57	          0.15	         64.80	   0.63㈢	         15.03	          1.82	          1.82	0.13	1489	002428	--  	--  	--  	
002429	兆驰股份	20201116	20100610	         45.27	--  	--  	246.41	107.88	          3.15	54.94	178.64	27.94	4.99	124.25	19.25	28.58	45.67	3.94	1.12	140.20	120.06	12.31	0.11	12.26	11.16	11.12	10.41	58.50	-17.34	-25.62	100000.00	         17097	10.24万	66.02	55.23	          2.51	-15.64	1.93	0.00	0.246㈢	          2.38	0.00	          0.02	          1.29	         -0.38	         43.78	  10.31㈢	         14.36	          8.78	          7.93	2.73	8705	002429	--  	--  	--  	
002430	杭氧股份	20201201	20100610	          9.65	--  	--  	134.32	62.42	          4.60	50.11	76.95	43.13	3.40	53.17	12.69	19.74	19.52	--  	16.13	72.26	56.33	8.65	0.14	8.73	6.87	6.46	6.11	31.73	6.48	0.38	17677.00	         19962	51.02万	21.48	20.69	          3.95	38.06	3.41	0.70	0.670㈢	          6.47	0.00	          1.67	          3.29	          0.67	         46.47	  10.35㈢	         22.04	         11.97	          8.94	1.90	4201	002430	--  	--  	--  	
