代码	名称	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
002350	北京科锐	20201030	20100203	          5.42	--  	--  	34.57	18.40	          1.98	41.08	22.30	6.68	1.60	14.07	3.42	5.71	11.34	--  	7.03	14.32	10.85	0.29	-0.01	0.36	0.29	0.26	0.19	4.96	-0.53	-0.85	28872.00	          9967	5.75万	-46.79	-10.82	          1.70	-58.98	2.19	0.95	0.050㈢	          3.39	0.00	          1.30	          0.91	         -0.10	         53.21	   1.41㈢	         24.18	          2.05	          1.81	0.57	2296	002350	--  	--  	--  	
002351	漫步者	20201030	20100205	          8.89	--  	--  	24.33	19.62	          0.16	18.69	18.64	4.50	0.63	4.08	2.25	5.24	2.10	--  	4.59	12.70	8.39	2.34	0.26	2.34	1.96	1.85	1.62	5.37	2.37	1.12	118042.00	          2957	4.60万	130.03	61.10	          7.05	58.39	10.90	0.64	0.210㈢	          2.21	0.00	          0.52	          0.60	          0.27	         80.65	   9.41㈢	         33.89	         18.44	         14.54	0.60	3221	002351	--  	--  	--  	
002352	顺丰控股	20201029	20100205	         45.56	--  	--  	1049.07	526.24	          2.85	49.57	506.03	203.27	103.15	391.94	137.43	8.99	133.50	0.26	223.82	1095.94	897.32	79.74	3.39	78.79	53.24	55.98	51.05	241.76	105.99	-46.66	81959.00	         18567	145.33万	29.84	39.13	          6.78	33.65	3.25	0.33	1.260㈢	         11.55	0.00	          4.91	          5.31	          2.33	         50.16	  10.64㈢	         18.12	          7.28	          5.11	11.93	114813	002352	--  	--  	--  	
002353	杰瑞股份	20201203	20100205	          9.58	--  	--  	179.16	105.15	          2.80	39.75	139.54	16.26	3.44	63.54	16.11	52.89	34.96	--  	37.24	54.24	33.81	13.51	0.14	13.32	11.30	11.15	11.23	58.06	-10.05	-3.02	37914.00	         13132	48.92万	23.18	27.91	          3.39	-35.51	6.58	0.43	1.170㈢	         10.98	0.00	          3.89	          6.06	         -1.05	         58.69	  10.60㈢	         37.68	         24.90	         20.55	1.79	4990	002353	--  	--  	--  	
002354	*ST天娱	20201207	20100209	         16.63	--  	--  	61.78	5.41	          0.75	90.03	14.45	0.75	0.82	39.52	4.18	0.26	2.70	0.04	58.88	7.52	3.99	-1.71	0.89	-1.64	-1.74	-1.97	-2.07	-62.78	0.82	0.34	24733.00	         56630	16.59万	51.43	-27.51	          9.00	59.38	6.48	0.00	-0.119㈢	          0.33	0.00	          3.54	         -3.77	          0.05	          8.76	 -36.45㈢	         47.03	        -22.78	        -26.23	0.81	735	002354	--  	--  	--  	
002355	兴民智通	20201201	20100209	          6.21	--  	--  	45.00	26.63	          1.32	37.90	25.55	8.91	1.03	15.91	3.21	12.77	3.94	--  	18.60	10.43	10.56	-2.07	-0.00	-2.09	-1.67	-1.52	-1.76	1.18	-1.49	-0.87	23366.00	         17743	10.59万	-1252.79	-24.83	          1.39	-24.84	3.55	0.03	-0.244㈢	          4.29	0.00	          3.00	          0.19	         -0.24	         59.18	  -5.69㈢	         -1.27	        -19.88	        -14.53	0.32	2814	002355	--  	--  	--  	
002356	*ST赫美	20201029	20100209	          5.28	--  	--  	14.48	-19.05	         -6.42	275.93	11.26	1.13	0.78	32.08	1.53	2.19	2.78	--  	7.94	3.06	1.93	-3.14	2.20	-3.22	-3.23	-1.52	-3.81	-32.56	0.15	-2.67	22040.00	         13559	1.64万	63.47	-54.15	         -0.34	41.22	2.09	0.00	-0.288㈢	         -3.61	0.00	          1.50	         -6.17	          0.03	       -131.57	--  	         36.79	       -102.75	        -49.80	0.09	1015	002356	--  	--  	--  	
002357	富临运业	20201124	20100210	          3.13	--  	--  	25.90	12.47	          0.83	48.68	2.81	5.74	2.12	8.74	0.83	0.01	0.78	0.04	2.08	4.49	3.61	0.90	0.75	0.86	0.71	0.67	0.59	5.72	0.12	-0.09	16917.00	          9572	5.58万	-34.64	-33.88	          1.47	153.38	4.07	0.00	0.215㈢	          3.98	0.00	          0.67	          1.82	          0.04	         48.12	   5.41㈢	         19.61	         20.06	         15.02	0.01	2540	002357	--  	--  	--  	
002358	森源电气	20201030	20100210	          9.30	--  	--  	79.25	45.51	          0.03	42.54	48.49	26.33	1.42	32.94	6.42	8.68	28.84	--  	19.35	11.83	8.92	0.30	0.00	0.34	0.21	0.20	-0.09	14.57	-0.29	-1.55	56678.00	          8546	4.23万	-79.28	-3.88	          1.01	-160.92	3.89	0.00	0.022㈢	          4.89	0.00	          2.08	          1.57	         -0.03	         57.42	   0.45㈢	         24.60	          2.57	          1.73	0.30	12524	002358	--  	--  	--  	
002360	同德化工	20201207	20100303	          3.92	--  	--  	16.71	12.00	          0.64	24.37	9.91	3.64	1.37	2.30	5.46	0.55	1.28	--  	0.30	6.27	3.63	1.27	-0.01	1.29	0.93	0.94	0.96	7.50	0.60	0.69	16000.00	         17546	12.91万	-25.69	6.18	          2.40	48.20	4.59	1.95	0.250㈢	          3.06	0.00	          0.08	          1.91	          0.15	         71.82	   7.86㈢	         42.21	         20.31	         15.03	0.11	1816	002360	--  	--  	--  	
